problem_id,code
1007,"'''
In a row of dominoes, A[i] and B[i] represent the top and bottom halves of the i-th domino.  (A domino is a tile with two numbers from 1 to 6 - one on each half of the tile.)

We may rotate the i-th domino, so that A[i] and B[i] swap values.

Return the minimum number of rotations so that all the values in A are the same, or all the values in B are the same.

If it cannot be done, return -1.
Input: A = [2,1,2,4,2,2], B = [5,2,6,2,3,2]
Output: 2
Explanation: 
The first figure represents the dominoes as given by A and B: before we do any rotations.
If we rotate the second and fourth dominoes, we can make every value in the top row equal to 2, as indicated by the second figure.
'''

class Solution(object):
    def minDominoRotations(self, A, B):
        """"""
        :type A: List[int]
        :type B: List[int]
        :rtype: int
        """"""
        if len(A) != len(B):
            return -1
        if len(A) == 0:
            return 0
        
        for possibility in set([A[0], B[0]]):
            top_rotation, bottom_rotation =0, 0
            for a_num, b_num in zip(A, B):
                if possibility not in [a_num, b_num]:
                    break
                top_rotation += int(b_num != possibility)
                bottom_rotation += int(a_num != possibility)
            else:
                return min(top_rotation, bottom_rotation)
        return -1
 "
1008,"'''
Return the root node of a binary search tree that matches the given preorder traversal.

(Recall that a binary search tree is a binary tree where for every node, any descendant of node.left has a value < node.val, and any descendant of node.right has a value > node.val.  Also recall that a preorder traversal displays the value of the node first, then traverses node.left, then traverses node.right.)
'''

# Definition for a binary tree node.
# class TreeNode(object):
#     def __init__(self, x):
#         self.val = x
#         self.left = None
#         self.right = None

class Solution(object):
    def bstFromPreorder(self, preorder):
        """"""
        :type preorder: List[int]
        :rtype: TreeNode
        """"""
        root = TreeNode(preorder[0])
        stack = [root]
        for index in range(1, len(preorder)):
            new_node = TreeNode(preorder[index])
            if new_node.val < stack[-1].val:
                stack[-1].left = new_node
            else:
                parent = None
                while stack and new_node.val > stack[-1].val:
                    parent = stack.pop()
                parent.right = new_node
            stack.append(new_node)
        return root
        "
1009,"'''Every non-negative integer N has a binary representation.  For example, 5 can be represented as ""101"" in binary, 11 as ""1011"" in binary, and so on.  Note that except for N = 0, there are no leading zeroes in any binary representation.

The complement of a binary representation is the number in binary you get when changing every 1 to a 0 and 0 to a 1.  For example, the complement of ""101"" in binary is ""010"" in binary.

For a given number N in base-10, return the complement of it's binary representation as a base-10 integer.

 

Example 1:

Input: 5
Output: 2
Explanation: 5 is ""101"" in binary, with complement ""010"" in binary, which is 2 in base-10.
Example 2:

Input: 7
Output: 0
Explanation: 7 is ""111"" in binary, with complement ""000"" in binary, which is 0 in base-10.
Example 3:

Input: 10
Output: 5
Explanation: 10 is ""1010"" in binary, with complement ""0101"" in binary, which is 5 in base-10.
 

Note:

0 <= N < 10^9
'''

class Solution(object):
    def bitwiseComplement(self, N):
        """"""
        :type N: int
        :rtype: int
        """"""
        if N == 0:
            return 1
        import math
        bits = (int)(math.floor(math.log(N) /math.log(2))) + 1
        return ((1 << bits) - 1) ^ N"
101,"'''
	Given a binary tree, check whether it is a mirror of itself (ie, symmetric around its center).

	For example, this binary tree [1,2,2,3,4,4,3] is symmetric:

	    1
	   / \
	  2   2
	 / \ / \
	3  4 4  3

	But the following [1,2,2,null,3,null,3] is not:

	    1
	   / \
	  2   2
	   \   \
	   3    3

'''

# Definition for a binary tree node.
# class TreeNode(object):
#     def __init__(self, x):
#         self.val = x
#         self.left = None
#         self.right = None

class Solution(object):
    def isSymmetric(self, root):
        """"""
        :type root: TreeNode
        :rtype: bool
        """"""
        if not root:
        	return True

        def dfs(left, right):
        	if not left and not right:
        		return True

        	if not left or not right:
        		return False
        	return (left.val == right.val) and dfs(left.left, right.right) and dfs(left.right, right.left)

        return dfs(root, root)"
1010,"'''
In a list of songs, the i-th song has a duration of time[i] seconds. 

Return the number of pairs of songs for which their total duration in seconds is divisible by 60.  Formally, we want the number of indices i < j with (time[i] + time[j]) % 60 == 0.

 

Example 1:

Input: [30,20,150,100,40]
Output: 3
Explanation: Three pairs have a total duration divisible by 60:
(time[0] = 30, time[2] = 150): total duration 180
(time[1] = 20, time[3] = 100): total duration 120
(time[1] = 20, time[4] = 40): total duration 60
Example 2:

Input: [60,60,60]
Output: 3
Explanation: All three pairs have a total duration of 120, which is divisible by 60.

Note:

1 <= time.length <= 60000
1 <= time[i] <= 500
'''

class Solution(object):
    def numPairsDivisibleBy60(self, time):
        """"""
        :type time: List[int]
        :rtype: int
        """"""
        count_arr = [0]*60
        result = 0
        for t in time:
            remainder = t%60
            complement = (60-remainder)%60
            result += count_arr[complement]
            count_arr[remainder] += 1
        return result
 
 '''
	Explanation: 
	Q1: why create array of size 60? 
		it is similar to the map which store the count. Why only 60 because 60 modulo of number cannot be more than 60
	Q2: why we need complement?
		to check the pair if it exisit with given value or not example: if remainder is 20 then we need to check if we have any number with remainder 40 or not.
	Q3: why 60 modulo complement?
		for handle cause when remainder is zero 
 '''"
1011,"'''
A conveyor belt has packages that must be shipped from one port to another within D days.

The i-th package on the conveyor belt has a weight of weights[i].  Each day, we load the ship with packages on the conveyor belt (in the order given by weights). We may not load more weight than the maximum weight capacity of the ship.

Return the least weight capacity of the ship that will result in all the packages on the conveyor belt being shipped within D days.

 

Example 1:

Input: weights = [1,2,3,4,5,6,7,8,9,10], D = 5
Output: 15
Explanation: 
A ship capacity of 15 is the minimum to ship all the packages in 5 days like this:
1st day: 1, 2, 3, 4, 5
2nd day: 6, 7
3rd day: 8
4th day: 9
5th day: 10

Note that the cargo must be shipped in the order given, so using a ship of capacity 14 and splitting the packages into parts like (2, 3, 4, 5), (1, 6, 7), (8), (9), (10) is not allowed. 
Example 2:

Input: weights = [3,2,2,4,1,4], D = 3
Output: 6
Explanation: 
A ship capacity of 6 is the minimum to ship all the packages in 3 days like this:
1st day: 3, 2
2nd day: 2, 4
3rd day: 1, 4

Note:

1 <= D <= weights.length <= 50000
1 <= weights[i] <= 500

'''


class Solution(object):
    def shipWithinDays(self, weights, D):
        """"""
        :type weights: List[int]
        :type D: int
        :rtype: int
        """"""
        high, low = sum(weights)+1, max(weights)
        
        while(low < high):
            mid = (high+low)/2
            temp_left = mid
            packet_at_left = D-1
            for weight in weights:
                if weight <= mid:
                    if temp_left < weight:
                        if packet_at_left == 0:
                            low = mid+1
                            break
                        packet_at_left -= 1
                        temp_left = mid-weight
                    else:
                        temp_left -= weight
            else:
                high = mid
                
        return low


class Solution(object):
    def shipWithinDays(self, weights, D):
        """"""
        :type weights: List[int]
        :type D: int
        :rtype: int
        """"""
        left, right = max(weights), sum(weights)
        
        while left < right:
            curr_sum, groups, invalid = 0, 0, True
            mid = left + ((right-left) >> 1)
            for weight in weights:
                if weight > mid:
                    invalid = False
                    break
                if curr_sum + weight > mid:
                    groups += 1
                    curr_sum = 0
                curr_sum += weight
            if invalid and groups < D:
                right = mid
            else:
                left = mid + 1
        return left"
1013,"'''
Given an array A of integers, return true if and only if we can partition the array into three non-empty parts with equal sums.

Formally, we can partition the array if we can find indexes i+1 < j with (A[0] + A[1] + ... + A[i] == A[i+1] + A[i+2] + ... + A[j-1] == A[j] + A[j-1] + ... + A[A.length - 1])

 

Example 1:

Input: [0,2,1,-6,6,-7,9,1,2,0,1]
Output: true
Explanation: 0 + 2 + 1 = -6 + 6 - 7 + 9 + 1 = 2 + 0 + 1
Example 2:

Input: [0,2,1,-6,6,7,9,-1,2,0,1]
Output: false
Example 3:

Input: [3,3,6,5,-2,2,5,1,-9,4]
Output: true
Explanation: 3 + 3 = 6 = 5 - 2 + 2 + 5 + 1 - 9 + 4
 

Note:

3 <= A.length <= 50000
-10000 <= A[i] <= 10000
'''

class Solution(object):
    def canThreePartsEqualSum(self, A):
        """"""
        :type A: List[int]
        :rtype: bool
        """"""
        total_sum = 0
        for val in A:
            total_sum += val
            
        if(total_sum%3 != 0):
            return False
        
        curr_sum, groups = 0, 0
        for val in A:
            curr_sum += val
            if curr_sum == total_sum/3:
                curr_sum = 0
                groups +=1
        print groups
        return groups == 3
            
"
1014,"'''
Given an array A of positive integers, A[i] represents the value of the i-th sightseeing spot, and two sightseeing spots i and j have distance j - i between them.

The score of a pair (i < j) of sightseeing spots is (A[i] + A[j] + i - j) : the sum of the values of the sightseeing spots, minus the distance between them.

Return the maximum score of a pair of sightseeing spots.

 

Example 1:

Input: [8,1,5,2,6]
Output: 11
Explanation: i = 0, j = 2, A[i] + A[j] + i - j = 8 + 5 + 0 - 2 = 11
 

Note:

2 <= A.length <= 50000
1 <= A[i] <= 1000
'''
class Solution(object):
    def maxScoreSightseeingPair(self, A):
        """"""
        :type A: List[int]
        :rtype: int
        """"""
        prev_best, result = 0, 0
        for index in range(0, len(A)):
            result = max(result, A[index]-index+prev_best)
            prev_best = max(prev_best, A[index]+index)
        return result
 "
1015,"'''
Given a positive integer K, you need find the smallest positive integer N such that N is divisible by K, and N only contains the digit 1.

Return the length of N.  If there is no such N, return -1.

 

Example 1:

Input: 1
Output: 1
Explanation: The smallest answer is N = 1, which has length 1.
Example 2:

Input: 2
Output: -1
Explanation: There is no such positive integer N divisible by 2.
Example 3:

Input: 3
Output: 3
Explanation: The smallest answer is N = 111, which has length 3.
'''

class Solution(object):
    def smallestRepunitDivByK(self, K):
        """"""
        :type K: int
        :rtype: int
        """"""
        length, value = 0, 0
        for no_one in range(100000):
            value = (10*value + 1)%K
            length += 1
            if value == 0:
                return length
        return -1
"
1016,"'''
Given a binary string S (a string consisting only of '0' and '1's) and a positive integer N, return true if and only if for every integer X from 1 to N, the binary representation of X is a substring of S.

 

Example 1:

Input: S = ""0110"", N = 3
Output: true
Example 2:

Input: S = ""0110"", N = 4
Output: false
 

Note:

1 <= S.length <= 1000
1 <= N <= 10^9
'''

class Solution(object):
    def queryString(self, S, N):
        """"""
        :type S: str
        :type N: int
        :rtype: bool
        """"""
        for num in range(1, N+1):
            binary_str = ''
            while (num != 0):
                binary_str += str(num%2)
                num /= 2
            reversed_str = binary_str[::-1]
            
            if reversed_str not in S:
                return False
        return True
 "
1017,"'''
Given a number N, return a string consisting of ""0""s and ""1""s that represents its value in base -2 (negative two).

The returned string must have no leading zeroes, unless the string is ""0"".


Example 1:

Input: 2
Output: ""110""
Explantion: (-2) ^ 2 + (-2) ^ 1 = 2
Example 2:

Input: 3
Output: ""111""
Explantion: (-2) ^ 2 + (-2) ^ 1 + (-2) ^ 0 = 3

Example 3:

Input: 4
Output: ""100""
Explantion: (-2) ^ 2 = 4
 

Note:

0 <= N <= 10^9
'''

class Solution(object):
    def baseNeg2(self, N):
        """"""
        :type N: int
        :rtype: str
        """"""
        if N == 0:
            digits = ['0']
        else:
            digits = []
            while N != 0:
                N, remainder = divmod(N, -2)
                if remainder < 0:
                    N, remainder = N+1, remainder + 2
                digits.append(str(remainder))
        return ''.join(digits[::-1])
"
1018,"'''
Given an array A of 0s and 1s, consider N_i: the i-th subarray from A[0] to A[i] interpreted as a binary number (from most-significant-bit to least-significant-bit.)

Return a list of booleans answer, where answer[i] is true if and only if N_i is divisible by 5.

Example 1:

Input: [0,1,1]
Output: [true,false,false]
Explanation: 
The input numbers in binary are 0, 01, 011; which are 0, 1, and 3 in base-10.  Only the first number is divisible by 5, so answer[0] is true.
Example 2:

Input: [1,1,1]
Output: [false,false,false]

Note:

1 <= A.length <= 30000
A[i] is 0 or 1
'''

class Solution(object):
    def prefixesDivBy5(self, A):
        """"""
        :type A: List[int]
        :rtype: List[bool]
        """"""
        result = []
        if not A:
            return []
        str_bin = ''
        for val in A:
            str_bin += str(val)
            if(int(str_bin, 2)%5 == 0):
                result.append(True)
            else:
                result.append(False)
        return result
"
1019,"'''
We are given a linked list with head as the first node.  Let's number the nodes in the list: node_1, node_2, node_3, ... etc.

Each node may have a next larger value: for node_i, next_larger(node_i) is the node_j.val such that j > i, node_j.val > node_i.val, and j is the smallest possible choice.  If such a j does not exist, the next larger value is 0.

Return an array of integers answer, where answer[i] = next_larger(node_{i+1}).

Note that in the example inputs (not outputs) below, arrays such as [2,1,5] represent the serialization of a linked list with a head node value of 2, second node value of 1, and third node value of 5.

 

Example 1:

Input: [2,1,5]
Output: [5,5,0]
Example 2:

Input: [2,7,4,3,5]
Output: [7,0,5,5,0]
Example 3:

Input: [1,7,5,1,9,2,5,1]
Output: [7,9,9,9,0,5,0,0]
 

Note:

1 <= node.val <= 10^9 for each node in the linked list.
The given list has length in the range [0, 10000].
'''

# Definition for singly-linked list.
# class ListNode(object):
#     def __init__(self, x):
#         self.val = x
#         self.next = None

class Solution(object):
    def nextLargerNodes(self, head):
        """"""
        :type head: ListNode
        :rtype: List[int]
        """"""
        result = []
        while head:
            result.append(head.val)
            head = head.next
        
        stack = [result[-1]]
        ans = [0]
        for val in range(len(result)-2, -1, -1):
            if result[val] < stack[-1]:
                ans.append(stack[-1])
            else:
                while stack and stack[-1] <= result[val]:
                    stack.pop()
                if stack:
                    ans.append(stack[-1])
                else:
                    ans.append(0)
            stack.append(result[val])
        return ans[::-1]
"
102,"'''
	Given a binary tree, return the level order traversal of its nodes' values. (ie, from left to right, level by level).

	For example:
	Given binary tree [3,9,20,null,null,15,7],

	    3
	   / \
	  9  20
	    /  \
	   15   7

	return its level order traversal as:

	[
	  [3],
	  [9,20],
	  [15,7]
	]
'''

# Definition for a binary tree node.
# class TreeNode(object):
#     def __init__(self, x):
#         self.val = x
#         self.left = None
#         self.right = None

class Solution(object):
    def levelOrder(self, root):
        """"""
        :type root: TreeNode
        :rtype: List[List[int]]
        """"""

        if not root:
        	return []

        queue = [(root, 0)]
        levelMap = {}

        while queue:
        	node, level = queue.pop(0)
        	if node.left:
        		queue.append((node.left, level+1))
        	if node.right:
        		queue.append((node.right, level+1))

        	if level in levelMap:
        		levelMap[level].append(node.val)
        	else:
        		levelMap[level] = [node.val]

        result = []
        for key, value in levelMap.iteritems():
        	result.append(value)
        return result"
1020,"'''
Given a 2D array A, each cell is 0 (representing sea) or 1 (representing land)

A move consists of walking from one land square 4-directionally to another land square, or off the boundary of the grid.

Return the number of land squares in the grid for which we cannot walk off the boundary of the grid in any number of moves.

 

Example 1:

Input: [[0,0,0,0],[1,0,1,0],[0,1,1,0],[0,0,0,0]]
Output: 3
Explanation: 
There are three 1s that are enclosed by 0s, and one 1 that isn't enclosed because its on the boundary.
Example 2:

Input: [[0,1,1,0],[0,0,1,0],[0,0,1,0],[0,0,0,0]]
Output: 0
Explanation: 
All 1s are either on the boundary or can reach the boundary.
 

Note:

1 <= A.length <= 500
1 <= A[i].length <= 500
0 <= A[i][j] <= 1
All rows have the same size.
'''

class Solution(object):
    def numEnclaves(self, A):
        """"""
        :type A: List[List[int]]
        :rtype: int
        """"""
        result = 0
        queue = []
        for row in range(len(A)):
            for col in range(len(A[0])):
                result += A[row][col]
                if (row*col == 0 or row == len(A)-1 or col == len(A[0])-1) and A[row][col] == 1:
                    queue.append((row, col))
                    
        x_move = [-1, 0, 1, 0]
        y_move = [0, 1, 0, -1]
        
        while queue:
            x, y = queue.pop(0)
            A[x][y] = 0
            result -= 1
            
            for xm, ym in zip(x_move, y_move):
                nx = x + xm
                ny = y + ym
                
                if 0<= nx <len(A) and 0 <= ny < len(A[0]) and A[nx][ny] == 1 and (nx, ny) not in queue:
                    queue.append((nx, ny))

        return result
"
1021,"'''
A valid parentheses string is either empty (""""), ""("" + A + "")"", or A + B, where A and B are valid parentheses strings, and + represents string concatenation.  For example, """", ""()"", ""(())()"", and ""(()(()))"" are all valid parentheses strings.

A valid parentheses string S is primitive if it is nonempty, and there does not exist a way to split it into S = A+B, with A and B nonempty valid parentheses strings.

Given a valid parentheses string S, consider its primitive decomposition: S = P_1 + P_2 + ... + P_k, where P_i are primitive valid parentheses strings.

Return S after removing the outermost parentheses of every primitive string in the primitive decomposition of S.

 

Example 1:

Input: ""(()())(())""
Output: ""()()()""
Explanation: 
The input string is ""(()())(())"", with primitive decomposition ""(()())"" + ""(())"".
After removing outer parentheses of each part, this is ""()()"" + ""()"" = ""()()()"".
Example 2:

Input: ""(()())(())(()(()))""
Output: ""()()()()(())""
Explanation: 
The input string is ""(()())(())(()(()))"", with primitive decomposition ""(()())"" + ""(())"" + ""(()(()))"".
After removing outer parentheses of each part, this is ""()()"" + ""()"" + ""()(())"" = ""()()()()(())"".
Example 3:

Input: ""()()""
Output: """"
Explanation: 
The input string is ""()()"", with primitive decomposition ""()"" + ""()"".
After removing outer parentheses of each part, this is """" + """" = """".
 

Note:

S.length <= 10000
S[i] is ""("" or "")""
S is a valid parentheses string
'''

class Solution(object):
    def removeOuterParentheses(self, S):
        """"""
        :type S: str
        :rtype: str
        """"""
        temp, result = """", """"
        start_bracket = 0
        for char in S:
            temp += char
            if char == '(':
                start_bracket += 1
            else:
                start_bracket -= 1
            if start_bracket == 0:
                result += temp[1:-1]
                temp = """"
        return result
"
